cod_procedimiento;consejeria;org_instructor;denominacion;descripcion;siaci;numero_expedientes
877;Consejeria de agricultura, ganaderia y desarrollo rural;Direccion general agricultura y ganaderia;SLLZ - Categorización de Espacios;Solicitud de Categorización de Espacios.;SLLZ;623
878;Consejeria de agricultura, ganaderia y desarrollo rural;Direccion general agricultura y ganaderia;MLLU - Gestión de restos cinegéticos;Comunicación previa para la gestión de restos cinegéticos;MLLU;336
933;Consejeria de agricultura, ganaderia y desarrollo rural;Direccion general agricultura y ganaderia;SLTG - Instalación de puntos de depósito;Solicitud de ayuda a la instalación de puntos de depósito de restos cinegéticos;SLTG;120
879;Consejeria de agricultura, ganaderia y desarrollo rural;Direccion general agricultura y ganaderia;MLLV - Depósito de restos cinegéticos;Comunicación previa puntos de depósito de restos cinegéticos;MLLV;82
997;Consejeria de agricultura, ganaderia y desarrollo rural;Direccion general produccion agroalimentaria y cooperativas;SIID - 2023 - Participación en el concurso gran selección campo y alma.;Solicitud de participación en el concurso gran selección campo y alma 2023.;SIID;165
1106;Consejeria de agricultura, ganaderia y desarrollo rural;Direccion general produccion agroalimentaria y cooperativas;SIID - Participación en el concurso gran selección campo y alma 2024.;Solicitud de participación en el concurso gran selección campo y alma 2024;SIID;155
1055;Consejeria de bienestar social;Direccion general de accion social y cooperacion;Orden 21/2023, de 26 de enero;Orden 21/2023, de 26 de enero;SM0M;14
1135;Consejeria de bienestar social;Direccion general de accion social y cooperacion;SM0M - 2023 - Resolución de 25/10/2023. Subvenciones para entidades locales para mejora de la atención de las personas afectadas por el conflicto de Ucrania.;Resolución de 25/10/2023, por la que se convocan las subvenciones a entidades locales de CLM, para la financiación de los gastos ocasionados en el ejercicio 2023 para la mejora de la atención de las necesidades básicas de las personas afectadas por el conflicto en Ucrania;SM0M;8
216;Consejeria de bienestar social;Direccion general de discapacidad;Decreto 74/2016. Concesión;Decreto 74/2016, que regula la concesión de la tarjeta de estacionamiento para personas con discapacidad y movilidad reducida;SD22;58069
225;Consejeria de bienestar social;Direccion general de discapacidad;Decreto 74/2016. Renovacion;Decreto 74/2016, que regula la renovacion de la tarjeta de estacionamiento para personas con discapacidad y movilidad reducida;SD22;26176
237;Consejeria de bienestar social;Direccion general de discapacidad;Decreto 74/2016. Duplicado;Decreto 74/2016, que regula la Expedición de duplicado de la tarjeta de estacionamiento;SD22;3625
236;Consejeria de bienestar social;Direccion general de discapacidad;Decreto 74/2016. Retirada/Cancelación;Decreto 74 /2016, que regula la retirada o cancelación de la tarjeta de estacionamiento para personas con discapacidad y movilidad reducida;SD22;961
853;Consejeria de bienestar social;Direccion general de discapacidad;Subvenciones a Entidades Privadas para el mantenimiento de Centros y Servicios de Atención a Personas con Discapacidad en Castilla-La Mancha. Convocatoria 2022.;Subvenciones a Entidades Privadas para el mantenimiento de Centros y Servicios de Atención a Personas con Discapacidad en Castilla-La Mancha. Convocatoria 2022.;SH58;351
1100;Consejeria de bienestar social;Direccion general de discapacidad;2024 - SM65 - Subvenciones a Entidades Privadas para el mantenimiento de Centros y Servicios de Atención a Personas con Discapacidad en Castilla-La Mancha.;Resolución de 11/10/2023, de la Dirección General de Discapacidad, por la que se convocan para el año 2024,  las subvenciones a entidades privadas de iniciativa social para el mantenimiento de centros, servicios y  desarrollo de programas destinados a la atención de las personas con discapacidad en Castilla-La Mancha.;SM65;345
1008;Consejeria de bienestar social;Direccion general de discapacidad;Subvenciones a Entidades Privadas para el mantenimiento de Centros y Servicios de Atención a Personas con Discapacidad en Castilla-La Mancha. Convocatoria 2023.;Resolución de 23/09/2022, de la Dirección General de Discapacidad, por la que se convocan para el año 2023 estas subvenciones (D.O.C.M. núm 187, de 28 de septiembre de 2022.).;SH58;339
