NUMTRAM;DENOMINACION;FINAL;DENOMINACION_SIMPLE
0;Registro Sol.;0;Reg. Sol.
100;Fin de Procedimiento;1;Fin proc.
379;Devolución voluntaria del anticipo por modificación de la resolución;0;Dev. voluntaria anticipo modificación la res.
379;Actualización importe anticipo -Reintegro por modificación de resolución;0;Actualización importe anticipo -Reintegro modificación res.
278;Resolución de pérdida de derecho al cobro total;0;Resol. pérdida derecho cobro total
266;Seguimiento de proyectos;0;Seguimiento proyectos
251;Evaluado y pendiente de valoración;0;Evaluado pendiente valoración
242;Valoración definitiva;0;Valoración definitiva
242;Valoración de proyectos;0;Valoración proyectos
160;Solicitud modificación resolución;0;Sol. modificación res.
156;Procedimiento de reintegro;0;proc. reintegro
156;Procedimiento de reintegro por modificación de resolución;0;proc. reintegro modificación res.
155;Propuesta de Inadmision (POR DUPLICIDAD);0;Prop. Inadmision (POR DUPLICIDAD)
82;Pago Anticipo;0;Pag. Anticipo
60;Modificación Resolución de concesión;0;Modificación Resol. concesión
55;Resolución de inadmisión (POR DUPLICIDAD);0;Resol. inadmisión (POR DUPLICIDAD)
53;Resolución de renuncia total;0;Resol. renuncia total
50;Resolución de Concesión;0;Resol. Conce.
42;Propuesta Modificación Resolución Concesión;0;Prop. Modificación Resol. Conce.
42;Propuesta definitiva;0;Prop. definitiva
40;Propuesta de Resolución Provisional;0;Prop. Resol. Provis.
30;Evaluación de solicitud;0;Eval. sol.
25;Acuerdo de inicio de pérdida de derecho al cobro total;0;Acuerdo inicio pérdida derecho cobro total
21;Presentación renuncia total;0;Present. renuncia total
15;Alegaciones a la Propuesta Provisional;0;Alegaciones la Prop. Provis.
10;Requerimiento de Documentación de Solicitud;0;Req. Doc. Sol.
1;Presentación de Solicitud;0;Present. Sol.
